Name,Age,Time
Nikolay TANKOV,46,14126000
Kenneth SCHOOTEN,49,14065000
Borislav KAPUKARANOV,30,14138000
Reinhold LOPATKA,57,14151000
Jann HOFFMANN,46,14138000
Ivan MITOVSKI,26,14154000
Marian DIMITROV,29,14157000
Dimitar DIMKIN,32,14154000
Ivan GRAHOVSKI,20,14154000
Ivan IVANOV,30,14167000
Lachezar CHOLAKOV,40,14234000
Miroslav KUTEV,43,14238000
David GOODWIN,50,14313000
Hristo DIMITROV,53,14347000
Kiril DIMITROV,46,14334000
Nikola PENCHEV,28,14341000
Dalo PASQUALE,58,14403000
Colin LONGWORTH,64,14447000
Todor PATARLIEV,35,14475000
Hassan MOUTRIBI,47,14510000
Vincent ZWICKERT,52,14511000
Atanas ATANASSOV,45,14524000
James HOLLAND,45,14532000
Bernie PRIEKULIS,61,14532000
Dmitri MOMOTOV,30,14584000
Ivan STOYANOV,41,14607000
Michael GORZINSKI,29,14511000
Dimoutis PANTELIS,54,14634000
Robert HARRIS,57,14666000
Nikolay KRASTEVA,32,14692000
Dimitar YANKOV,31,14697000
Plamen SLAVOV,33,14714000
Krasimir MILUSHEV,30,14726000
Stefan URILSKI,48,14745000
Jeremy HASLETT,58,14764000
Ivo TZANKOV,53,14826000
Stefan TODOROV,37,14831000
Aleksey VASILEV,48,14847000
Emmanuel ROUX,42,14861000
Plamen ALEXIEV,29,14924000
Alfred DEBONO,69,14906000
Gary OBRIEN,53,14926000
Kalin BOEVSKI,34,14929000
Krasimir LYUBOMIROV,42,14945000
Radi MILEV,69,14976000
Georgi KOLEV,52,14989000
Jose MONTON-CRUZ,35,15010000
Hristiyan DIMITROV,27,14996000
Stanislav RADKOV,28,14996000
Daniel DILKOV,28,15035000
Plamen PENOV,27,15073000
Mario RICCI,59,15082000
Cotinaut PHILIPPE,47,15136000
Bojan ALEKSIC,34,15168000
Emil EVTIMOV,28,15205000
Yordan ILIEV,30,15205000
Morten BLOCK,36,15214000
Angelo CARICATO,52,15231000
Ivan RADEV,36,15262000
Hristo STOIANOV,32,15262000
Ivelin YONKOV,43,15279000
Rosen RUSEV,27,15283000
Martin RALKOVSKI,41,15289000
Volen MLADENOV,32,15325000
Alexander DOMNANOVICH,41,15326000
Veroslav TEOPHILOV,37,15395000
Ivan STANCHEV,50,15404000
Aragon BLAI,42,15414000
Pedro RAMOS,44,15415000
Lyudmil ATANASOV,33,15433000
Bernhard HERTINGER,62,15459000
Ventsislav TRIFONOV,49,15463000
Stefan SHIVAROV,35,15608000
Vittorio CERQUENI,61,15629000
Dobromir GEORGIEV,35,15771000
Igor IGNATOV,48,15719000
Tcanio ARABADJIEV,56,15854000
Gerald SCHUMANN,59,15888000
Michele CRESCENTINI,46,15905000
Tsvetan GEORGIEV,26,15928000
Stanislav IVANOV,43,16056000
Benjamin KANE,33,16054000
Momchil DIMITROV,25,16070000
Georgi STOYCHEV,24,16189000
Krassimir TRENEV,47,16169000
Martin SIMEONOV,27,16232000
Borislav BUMBAROV,42,16260000
Simeon PETKOV,33,16345000
Iskren STANEV,49,16345000
Guido CAMPEDELLI,67,16358000
Anton ANDONOV,32,16398000
Esa NIEMINEN,62,16408000
Daniel YORDANOV,48,16524000
Georgi CHOLAKOV,29,16569000
Klaus NEUMANN,65,16587000
Boris KACHOV,71,16641000
Mladen DENKOV,25,16694000
Dobri STEFANOV,35,16723000
Detelin HRISTOV,35,16716000
Momchil TODOROV,35,16836000
Mauri VALAMA,72,16863000
Jorma KURITTU,63,16866000
Dimitar SHALVARDZIEV,30,16940000
Ivan IVANOV,38,16993000
Deyan TERZIEV,45,17146000
Toshko TODOROV,23,17230000
Dimitrii AKCHARLIEV,66,17254000
Klaus-Peter ULMSCHNEIDER,55,17271000
Yasen KIRILOV,29,17361000
Unto LEINIKKA,65,17389000
Vasileios KYRILLIDIS,59,17401000
Ivelin PARVANOV,44,17586000
Milen TZANOV,42,17647000
Stefan STOYANOV,63,17780000
Boris VASILEV,29,17780000
Galin BORISOV,32,17795000
Nikola GRIGOROV,27,17823000
George ANDONOV,46,17828000
Migaud PIERRE,72,17883000
Uve STRIMANN,61,18036000
Ivan YOSIFOV,35,18076000
Ivan DIMOV,45,18378000
Alexander DANCHEV,43,18463000
Erhard FILTENBORG,78,18467000
Wudarski ARKADIUSZ,45,18556000
Krum KOSHAREVSKY,49,18558000
Ignat GEORGIEV,26,18094000
Georgi KRUMOV,25,18856000
Georgi SEIZOV,79,18958000
Shuhei TAKAHASHI,28,18957000
Ivo TEODOSSIEV,33,19051000
Miroslav GROZEV,32,19041000
Valter BARTOLINI,60,19110000
Maurice SANGAN,63,19133000
Nikolay GEORGIEV,34,19130000
Borislav YANKOV,64,19159000
Pekka AIRAKSINEN,67,19173000
Stanimir ILIEV,37,19201000
JEAN Belle,52,19647000
Milen CHECHEV,33,20058000
Dimitar KYUSHEV,46,20287000
Petar PETROV,81,21478000
